shard,split,video_id,temporal_distance,pairs,mean_full_mae,median_full_mae,mean_human_mae,mean_cloth_mae,mean_skin_mae,mean_full_changed_fraction,mean_human_changed_fraction,mean_cloth_changed_fraction,mean_skin_changed_fraction
Dataset_Shard_0000000_0099999,train,96ChCVGsYPM,1,50,0.037653042543679474,0.028835128992795944,0.1364556937292218,0.13004830904304981,0.15139811262488365,0.16964285714285715,0.6158145529236604,0.5723755212644357,0.6952520703703907
Dataset_Shard_0000000_0099999,train,96ChCVGsYPM,2,50,0.043022964466363195,0.03368670493364334,0.15588950246572494,0.14712835770100355,0.1774474909156561,0.18176817602040818,0.6791144473383135,0.6324529038848666,0.7640184031542715
Dataset_Shard_0000000_0099999,train,96ChCVGsYPM,5,50,0.06457684457302093,0.04384341090917587,0.1688829881604761,0.1637608817545697,0.1854955029161647,0.27036710778061224,0.7099370507190741,0.6854359534918484,0.7634408837167816
Dataset_Shard_0000000_0099999,train,96ChCVGsYPM,10,50,0.07977440055459738,0.05271323397755623,0.21314667508006097,0.20380204886198044,0.225403770506382,0.312578125,0.8361729398709375,0.8171275626979009,0.8642742739991961
Dataset_Shard_0000000_0099999,train,9AE2GviExXs,1,50,0.09045551501214505,0.08481430634856224,0.1335470812022686,0.12612917695194484,0.14649703957140445,0.3971727519132653,0.6181787731427509,0.5824188613840549,0.7060456961321442
Dataset_Shard_0000000_0099999,train,9AE2GviExXs,2,50,0.11131958417594433,0.1127089224755764,0.15429629474878312,0.14365420319139957,0.16946494370698928,0.4890338010204081,0.7085039488895848,0.6692033153872196,0.7832812703640519
Dataset_Shard_0000000_0099999,train,9AE2GviExXs,5,50,0.12831899873912334,0.12109354510903358,0.18987907230854034,0.1808074178546667,0.19470845013856888,0.5252447385204081,0.7803951737767882,0.7484415615205947,0.8308035753160616
Dataset_Shard_0000000_0099999,train,9AE2GviExXs,10,50,0.13061343193054198,0.1291084885597229,0.1726996786892414,0.16649689465761186,0.1834057465195656,0.5469842155612245,0.7635371726473598,0.7452585424048129,0.829308530088295
Dataset_Shard_0000000_0099999,train,9MPPZdAWF4U,1,50,0.031185579532757402,0.02555222623050213,0.15297462936490774,0.14494513779878615,0.17112509943544865,0.11052814094387754,0.5672668925306583,0.5366460094474884,0.6532180373931529
Dataset_Shard_0000000_0099999,train,9MPPZdAWF4U,2,50,0.03898295074701309,0.032447876408696175,0.18442040383815766,0.1738486447185278,0.21453049167990684,0.13871532206632653,0.6360062842129702,0.6060846375564884,0.7472768291176931
Dataset_Shard_0000000_0099999,train,9MPPZdAWF4U,5,50,0.05511038016527891,0.04487117938697338,0.21755373924970628,0.20591546177864076,0.24999797880649566,0.22885921556122446,0.6995325592971026,0.6657617980453129,0.8002762825776963
Dataset_Shard_0000000_0099999,train,9MPPZdAWF4U,10,50,0.06960014747455716,0.062154173851013184,0.24008548960089685,0.2309373761713505,0.2598467406630516,0.31527463329081634,0.7473568745745545,0.7226120803344597,0.8198181357119015
Dataset_Shard_0000000_0099999,train,9Tq2xbgsGkM,1,50,0.11140329115092755,0.07326075062155724,0.17528849236667157,0.17351225027814507,0.18730782762169837,0.4522002551020408,0.7563647238179197,0.7202643604468669,0.8325096466341791
Dataset_Shard_0000000_0099999,train,9Tq2xbgsGkM,2,50,0.1630967264249921,0.19363366812467575,0.20436787068843842,0.2055790390074253,0.20873323656618595,0.6042426658163265,0.7904365555961718,0.757748792080799,0.8760298986137315
Dataset_Shard_0000000_0099999,train,9Tq2xbgsGkM,5,50,0.19632691588252782,0.2030927985906601,0.22556758977472782,0.2353157603740692,0.2143186692893505,0.7466087372448978,0.882873067539011,0.865120285891033,0.9275239638599037
Dataset_Shard_0000000_0099999,train,9Tq2xbgsGkM,10,50,0.24189838156104088,0.24686560034751892,0.26055447667837145,0.2710276320576668,0.24351643055677413,0.836567681760204,0.9397679199892994,0.9323292825990452,0.9568296607541069
Dataset_Shard_0000000_0099999,test,9azhMaMU4Eo,1,50,0.04427372470498085,0.044111914932727814,0.09229099692820456,0.08072293442863156,0.10230853344342904,0.20934430803571427,0.516068272976987,0.47276407784413693,0.5775750886264648
Dataset_Shard_0000000_0099999,test,9azhMaMU4Eo,2,50,0.049445168375968934,0.039259882643818855,0.09887989187933272,0.08992370268068044,0.11625928114743146,0.22094467474489796,0.5515912537140151,0.49964951715038936,0.6292396043554439
Dataset_Shard_0000000_0099999,test,9azhMaMU4Eo,5,50,0.06618363151326775,0.05111054517328739,0.1215137281967327,0.11070245958864688,0.13771418320946396,0.30294204400510205,0.6447505422818945,0.6033302766805932,0.7094820637734917
Dataset_Shard_0000000_0099999,test,9azhMaMU4Eo,10,50,0.07478814156726003,0.06070040352642536,0.12333972522523254,0.1143527908064425,0.13423109372612088,0.32735969387755104,0.6302983984365638,0.5823107087452066,0.6879316457310616
Dataset_Shard_0000000_0099999,train,9lVD-SGOSjg,1,50,0.16870403230190278,0.15152614563703537,0.18781544245779513,0.17798340238630772,0.2399294538795948,0.592398756377551,0.6950479349488927,0.6706024172347054,0.8082686085054185
Dataset_Shard_0000000_0099999,train,9lVD-SGOSjg,2,50,0.21151630565524102,0.2155432477593422,0.2376124967634678,0.2348378813266754,0.257246560305357,0.715337213010204,0.7979847812542892,0.7873312831404623,0.8739539471565295
Dataset_Shard_0000000_0099999,train,9lVD-SGOSjg,5,50,0.2428833369910717,0.2344522327184677,0.2611741408705711,0.2589418904483318,0.28350159764289856,0.7688568239795919,0.8242359727400003,0.8106144481214579,0.9113091162626307
Dataset_Shard_0000000_0099999,train,9lVD-SGOSjg,10,50,0.26987176924943923,0.26662038266658783,0.25967117965221403,0.24967978730797769,0.2738872355222702,0.7992259247448978,0.8406789786785174,0.821832527810663,0.899691457086665
Dataset_Shard_0000000_0099999,train,9oBVaGfsKf4,1,50,0.044763197237625715,0.038530295714735985,0.09062918828392867,0.07181337318441365,0.11040583583526313,0.19969587053571428,0.42630760121954603,0.34879954669829205,0.5089305422865136
Dataset_Shard_0000000_0099999,train,9oBVaGfsKf4,2,50,0.08098806349560618,0.06102767959237099,0.12380753688979894,0.11093448542524129,0.13804155963473022,0.31137555803571426,0.5191172247667553,0.4663582725555562,0.5805605466554823
Dataset_Shard_0000000_0099999,train,9oBVaGfsKf4,5,50,0.11199169743806124,0.07764798775315285,0.15876099716192585,0.14078312685165656,0.17406661725603045,0.4047967155612245,0.6308758789111094,0.5857548016550136,0.6660589458890733
Dataset_Shard_0000000_0099999,train,9oBVaGfsKf4,10,50,0.13360442781820894,0.10769305378198624,0.18303812861442567,0.18579470954835414,0.19283220335841178,0.47542889030612245,0.7053476315626263,0.6861664505703814,0.736452230164034
Dataset_Shard_0000000_0099999,train,9vQKn6w95ow,1,50,0.11394930072128773,0.11982034146785736,0.1578770188242197,0.15128747701644898,0.1759350325167179,0.541917649872449,0.6337254697177628,0.5640437089751237,0.785979365736957
