shard,split,video_id,mean_flow_magnitude,median_flow_magnitude,p90_flow_magnitude,mean_fb_error,fb_consistency_ratio_pair,mean_warp_error,human_mask_coverage,human_mean_flow_magnitude,human_mean_fb_error,human_fb_consistency_ratio,human_mean_warp_error,pairs
Dataset_Shard_0300000_0399999,train,eg5ydF06A9U,2.3060656034946443,0.16387583955656737,7.9249106588959695,1.1018735818378627,0.8318504048039759,14.267384728193283,0.1298777303890306,6.037288292348385,2.2680570147931576,0.6234903698010876,38.61794145584106,200
Dataset_Shard_0300000_0399999,train,euGB9ACrIrg,3.612292510867119,1.5563029139162972,9.834882102608681,1.6725209223106503,0.74551715706124,17.915770341157913,0.28561493542729594,6.994176053106785,2.844834342598915,0.5315578097942923,31.542797558307647,200
Dataset_Shard_0300000_0399999,train,f10cdSfKzdc,4.925767887234688,3.157116255853325,11.22394892692566,2.5577802535146477,0.6456336279805006,25.988216676712035,0.20058384486607142,6.704345309734345,2.247015253454447,0.5701304463962551,37.2553619480133,200
Dataset_Shard_0300000_0399999,train,fGK4CtMVIGk,2.8037228461354973,0.967345058801584,8.603973770737648,1.4513325269334019,0.7935757947883999,14.034013209939003,0.13808643574617346,6.994691632525937,2.600279126313326,0.5987376156031208,38.427993567418305,200
Dataset_Shard_0300000_0399999,train,fJ0BU_4rY28,3.820085310637951,1.9473947638645768,9.746407815217971,1.8867009675875306,0.737011094984448,24.78083255469799,0.18766751036352042,6.910263093709946,2.7390082115493715,0.5531789330207082,43.11549000740051,200
Dataset_Shard_0300000_0399999,train,fM0ea2tSBNQ,3.957511896006763,2.633821803663159,9.3832317443192,1.7198392495233565,0.7398817779949476,17.522790838479995,0.17519013073979595,6.59588871628046,2.445831943983212,0.6435527535056608,26.044477143287658,200
Dataset_Shard_0300000_0399999,train,fVXYoBINHcs,5.857859003543854,3.613610414583236,14.634611724615096,3.2940083508193494,0.6074174509919505,28.144012141227723,0.23733488121811225,8.171443973551504,3.8077350501189358,0.5003917555765084,36.758247367627916,200
Dataset_Shard_0300000_0399999,train,fcmXnubsug8,8.068218550607561,4.329658796526491,18.32785681337118,5.6786321530491115,0.5821042512181493,31.649301627278327,0.21377770248724487,8.059162131547929,3.292880557514727,0.5397579564961298,37.5679158949852,200
Dataset_Shard_0300000_0399999,train,fj1Kji79nQ8,3.5370356218516825,1.4200057911081239,9.837487344145774,2.018569166157395,0.7322604043942134,19.138665835857392,0.20674734933035716,7.351081785559654,3.5999722592905163,0.472156607828856,29.792389727830887,200
Dataset_Shard_0300000_0399999,train,g0YkYrnLS_A,4.518632475910708,1.891753814835488,12.295546584390104,2.7943663159618155,0.6965831683778809,24.753414716422558,0.21011220503826533,8.259467420589644,3.5210345089883774,0.49780439445408925,40.72652633808087,200
Dataset_Shard_0300000_0399999,train,g6LFKsNbbnw,5.175059012472629,3.505212356336415,12.69265951871872,2.449092486128211,0.6616546958165057,30.853509109020234,0.13360461176658162,9.616725045442582,3.959359355866909,0.3953194236090496,61.59188759326935,200
Dataset_Shard_0300000_0399999,train,gFTV_Kjw3OE,2.556626848950982,0.7647162355296314,7.834027480185032,1.1420517075248062,0.8149084749253757,13.724842582941056,0.1738882134885204,5.589554220587015,1.862931689042598,0.6651213874858125,28.53721116065979,200
Dataset_Shard_0300000_0399999,train,gKgHFMHDn3g,8.835942227244377,6.882431743517518,18.969356848001482,5.858236954286695,0.5388682424352382,29.756903522014618,0.15978585379464286,10.14869107425213,2.6637756957858802,0.5738995212342214,34.33578127145767,200
Dataset_Shard_0300000_0399999,train,gQW3RFC0ofo,2.6844854435324668,2.048842990747653,5.883563911989331,0.9209373091347516,0.8602052897316902,13.608791590332984,0.1166683274872449,4.055993493164424,0.9808055781555595,0.8296854364239017,25.033740638494493,200
Dataset_Shard_0300000_0399999,train,gQmCY2PXvtQ,3.4022915710508825,1.2159187636896969,9.775459736585617,1.8221674315072596,0.7636011238498,16.007402732372285,0.18558693399234694,7.079118991494179,2.804766872152686,0.5821464159386758,33.44332193851471,200
Dataset_Shard_0300000_0399999,train,gRZZVFAq8-s,5.567744832187891,3.4535909728705882,13.53764338195324,3.380867093652487,0.6163770385211851,17.428000552654268,0.23648347815688775,7.641747943786904,3.7405306976288557,0.5488930281385104,26.061125260591506,200
