video_id,split,shard,temporal_distance,pairs,mean_motion_magnitude,median_motion_magnitude,p90_motion_magnitude,mean_motion_coverage,mean_dx,mean_dy,mean_direction
-bqSDAsWptU,train,Dataset_Shard_0000000_0099999,1,50,4.1058437865972515,2.218011260032654,9.952590656280519,0.503441087372449,-0.42805833837948737,0.000994863118394278,10.298376944078706
-bqSDAsWptU,train,Dataset_Shard_0000000_0099999,2,50,5.625803980231285,3.9688702821731567,12.732145786285402,0.5547859534438776,-0.07488646665820851,-0.13826825439929963,3.963376913911244
-bqSDAsWptU,train,Dataset_Shard_0000000_0099999,5,50,4.913964332342148,3.0564814805984497,10.274761867523194,0.5542366868622449,-0.19056477448903025,0.0798023533076048,7.105816745259508
-bqSDAsWptU,train,Dataset_Shard_0000000_0099999,10,50,5.912089412212372,7.082566499710083,10.651457977294923,0.6377503188775511,-0.019072537878528237,-0.022522482154890895,-5.768969828107053
-jo_cPHYmjg,test,Dataset_Shard_0000000_0099999,1,50,0.7118874295800924,0.35514937341213226,1.2699398756027225,0.17954161352040818,-0.013643633518368005,-0.041207594433799385,25.381945593316882
-jo_cPHYmjg,test,Dataset_Shard_0000000_0099999,2,50,0.9509105986356735,0.5321528613567352,1.5165026903152474,0.20799266581632656,0.034817663615103814,-0.07011033758055418,26.66941938918693
-jo_cPHYmjg,test,Dataset_Shard_0000000_0099999,5,50,1.352741425037384,0.7457942068576813,3.7293199062347413,0.24626395089285716,0.04202611168846488,0.05826967729371972,12.612597064754668
-jo_cPHYmjg,test,Dataset_Shard_0000000_0099999,10,50,1.035615866780281,0.6934320032596588,1.4209002375602728,0.24071667729591836,0.0534719043597579,0.05528743039816618,42.777441821631925
-tqqp2KwCIQ,train,Dataset_Shard_0000000_0099999,1,50,2.71885238468647,2.641185164451599,4.813210916519165,0.29884765625,-0.2610318105481565,0.10673489781096578,14.643498888782409
-tqqp2KwCIQ,train,Dataset_Shard_0000000_0099999,2,50,2.789415237903595,2.8425369262695312,4.590235948562622,0.2881465242346939,-0.0440785594843328,-0.022794220754876734,1.6752618036510831
-tqqp2KwCIQ,train,Dataset_Shard_0000000_0099999,5,50,3.6252566409111022,3.6319353580474854,5.779305744171142,0.33059590242346937,-0.1413401492428966,0.1791148965805769,-5.876320940471363
-tqqp2KwCIQ,train,Dataset_Shard_0000000_0099999,10,50,3.76951979637146,3.462534546852112,5.883936214447021,0.32734295280612247,-0.5139827512204647,0.6413229744695127,37.155700297634965
-wUKLCvobpI,test,Dataset_Shard_0000000_0099999,1,50,1.4671396461874247,1.1673348546028137,2.898989653587342,0.2579444355867347,-0.08246482321294024,0.055976473055779935,-2.734155340323067
-wUKLCvobpI,test,Dataset_Shard_0000000_0099999,2,50,2.153385680585634,1.2294725179672241,5.09889783859253,0.3358553890306123,-0.12195742088955284,0.40813004094787175,19.129605318348105
-wUKLCvobpI,test,Dataset_Shard_0000000_0099999,5,50,1.9548303045332431,0.9387483894824982,4.144733095169068,0.2837515943877551,0.05902064992580563,-0.11747563057229854,-4.143575341481601
-wUKLCvobpI,test,Dataset_Shard_0000000_0099999,10,50,3.1776391506195067,1.7768444418907166,8.725039958953857,0.42690808354591836,0.04361059747636318,0.0746091531123966,-20.372370466460623
02MD08BgFZ0,train,Dataset_Shard_0000000_0099999,1,50,4.148818257153034,2.833813786506653,10.715792655944824,0.6982453762755102,0.2696487087756395,-0.1992645475640893,-17.266889713843174
02MD08BgFZ0,train,Dataset_Shard_0000000_0099999,2,50,5.486966277658939,6.070444583892822,9.769870281219486,0.7926470822704081,-0.5944670058041811,-0.020746352877467872,-15.78160064660082
02MD08BgFZ0,train,Dataset_Shard_0000000_0099999,5,50,7.180628781914711,8.46894121170044,11.942392539978027,0.7857250478316327,0.17985224574804307,-0.6725002525188029,4.057538559907391
02MD08BgFZ0,train,Dataset_Shard_0000000_0099999,10,50,6.7145128268003464,7.641319990158081,10.966796302795412,0.8226933195153062,0.5193280624598264,-0.5735453724861145,-7.4738131998041455
0FxsmwVeriw,train,Dataset_Shard_0000000_0099999,1,50,3.0595097779948266,1.9749369025230408,8.608730602264405,0.4152849968112245,0.21921790427761154,-0.07711222154088318,-11.189841583325999
