video_id,split,shard,temporal_distance,pairs,mean_ssim,median_ssim,std_ssim,mean_mae,mean_mse,mean_psnr
SsxtoWJHb4o,train,Dataset_Shard_0200000_0299999,10,50,0.5308779338002205,0.6862238049507141,0.32919199404955324,0.101831198297441,0.030169390011578798,17.18603233905744
TDCUZ3rN6H8,train,Dataset_Shard_0200000_0299999,10,50,0.5960107687115669,0.6209327280521393,0.1432181187736462,0.10714541107416153,0.037396219624206424,15.173725389192208
TLUD5I3rzoc,train,Dataset_Shard_0200000_0299999,10,50,0.6881972259283066,0.6932123303413391,0.10277004127729218,0.09110741060227155,0.02993243286386132,16.46595285876427
T_FBIBGomLM,train,Dataset_Shard_0200000_0299999,10,50,0.5873318403959275,0.6631930768489838,0.2081100286898951,0.11331623584032059,0.042839758405461906,15.431341667422306
TcjaEAyS8ts,train,Dataset_Shard_0200000_0299999,10,50,0.5472513210773468,0.5286363065242767,0.12593215613453704,0.14296721629798412,0.058097397508099675,13.895405706014184
TlGCU7dVYvo,train,Dataset_Shard_0200000_0299999,10,50,0.6196641933917999,0.6667899489402771,0.1953958080676638,0.1063019509240985,0.03130618068389594,16.551328174383055
Tn_MfGExzrw,train,Dataset_Shard_0200000_0299999,10,50,0.6407101786136628,0.6637644469738007,0.06331620793768084,0.07661305479705334,0.01775679137557745,18.020902121909973
TqH1zY7HkZE,train,Dataset_Shard_0200000_0299999,10,50,0.43347803175449373,0.3585476279258728,0.1970429408482471,0.21546374563127757,0.09825436025392265,11.450242640109902
TxDFFE1BV8k,train,Dataset_Shard_0200000_0299999,10,50,0.6887188428640365,0.7731627523899078,0.22009748705480806,0.08577494163066149,0.027133075715973974,18.234529031522598
U5_e_c9A3Rc,train,Dataset_Shard_0200000_0299999,10,50,0.7341501235961914,0.7507613003253937,0.06247364300686975,0.0664321357384324,0.02378951843827963,16.872193053443144
U7HzviIwyfs,train,Dataset_Shard_0200000_0299999,10,50,0.1760008952021599,0.16737931966781616,0.07091130573886184,0.2898054267466068,0.1353295346349478,9.015384555199768
